ydeg ymin ysec xdeg xmin xsec sourcedist
18 37 45 68 40 45 6
18 37 45 68 41 15 7
18 37 15 68 41 15 8
18 37 15 68 41 45 9
18 37 15 68 42 15 10
18 35 45 68 25 15 1
18 35 45 68 25 45 2
18 35 45 68 26 15 3
18 35 45 68 26 45 4
18 35 45 68 27 15 5
18 39 45 68 24 45 1
18 39 45 68 24 45 1
18 40 15 68 24 45 2
18 40 15 68 25 15 3
18 40 15 68 25 15 1
18 35 45 68 25 15 1
18 36 15 68 25 15 2
18 36 15 68 24 45 3
18 36 15 68 24 15 4
18 36 45 68 24 15 5
18 36 45 68 23 45 6
18 37 15 68 23 45 7
18 38 15 68 23 45 1
18 33 45 68 23 15 1
18 33 45 68 21 45 1
18 33 45 68 21 15 2
18 33 45 68 20 45 3
18 33 15 68 20 45 4
18 33 15 68 21 15 5
18 32 45 68 21 15 6
18 32 45 68 21 45 7
18 32 15 68 21 45 8
18 32 15 68 22 15 9
18 31 45 68 22 15 10
18 31 15 68 22 15 11
18 31 15 68 22 45 12
18 30 45 68 22 45 13
18 30 15 68 22 45 14
18 30 15 68 23 15 15
18 33 45 68 22 15 1
18 33 45 68 21 45 1
18 37 15 68 43 15 1
18 37 15 68 42 45 2
18 36 45 68 42 45 3
18 37 15 68 42 45 4
18 37 15 68 42 15 5
18 37 15 68 42 45 1
18 35 45 68 43 15 1
18 35 15 68 43 15 2
18 34 45 68 43 15 3
18 34 15 68 43 15 4
18 33 45 68 43 15 5
18 33 45 68 42 45 6
18 33 15 68 42 45 7
18 33 15 68 43 15 8
18 32 45 68 43 15 9
18 32 15 68 43 15 10
18 31 45 68 43 15 11
18 31 15 68 43 15 12
18 30 45 68 43 15 13
18 30 15 68 43 15 14
18 29 45 68 43 15 15
18 29 45 68 42 45 16
18 29 15 68 42 45 17
18 29 15 68 43 15 18
18 28 45 68 43 15 19
18 28 45 68 42 45 20
18 28 45 68 42 45 1
18 28 45 68 42 15 2
18 28 15 68 42 15 3
18 27 45 68 42 15 4
18 27 15 68 42 15 5
18 26 45 68 42 15 6
18 26 45 68 41 45 7
18 26 15 68 41 45 8
18 28 45 68 42 45 1
18 28 45 68 42 45 1
18 30 45 69 57 15 1
18 29 15 69 52 45 1
18 28 45 69 52 45 2
18 28 15 69 52 45 3
18 28 15 69 52 15 4
18 28 15 69 52 45 5
18 27 45 69 52 45 6
18 27 45 69 52 15 7
18 28 15 69 52 15 8
18 28 15 69 51 45 9
18 28 15 69 51 15 10
18 28 15 69 50 45 11
18 28 15 69 50 15 12
18 28 15 69 49 45 13
18 28 15 69 49 45 1
18 28 15 69 50 15 2
18 28 15 69 50 45 3
18 28 15 69 51 15 4
18 28 15 69 51 45 5
18 28 15 69 52 15 6
18 27 45 69 52 15 7
18 27 45 69 52 45 8
18 28 15 69 52 45 9
18 28 15 69 52 15 10
18 28 15 69 52 45 11
18 28 45 69 52 45 12
18 29 15 69 52 45 13
18 28 15 69 49 45 1
18 28 45 69 49 45 2
18 29 15 69 49 45 3
18 29 15 69 49 15 4
18 29 45 69 49 15 5
18 30 15 69 49 15 6
18 30 15 69 49 45 7
18 30 45 69 49 45 8
18 31 15 69 49 45 9
18 31 15 69 50 15 10
18 31 45 69 50 15 11
18 31 45 69 50 45 12
18 32 15 69 50 45 13
18 32 15 69 51 15 14
18 28 15 69 49 45 1
18 28 15 69 49 45 1
18 28 15 69 49 15 2
18 27 45 69 49 15 3
18 27 45 69 49 15 1
18 28 15 69 49 15 2
18 28 15 69 49 45 3
18 27 15 69 35 15 1
18 27 45 69 35 15 2
18 27 45 69 34 45 3
18 28 15 69 34 45 4
18 28 45 69 34 45 5
18 29 15 69 34 45 6
18 27 15 69 35 45 1
18 26 45 69 35 45 2
18 27 15 69 35 45 1
18 27 15 69 35 45 1
18 27 15 69 35 15 2
18 26 45 69 39 15 1
18 26 45 69 39 15 1
18 25 45 69 38 45 1
18 25 45 69 38 45 1
18 25 45 69 39 15 2
18 26 15 69 39 15 3
18 26 45 69 39 15 4
18 25 45 69 38 45 1
18 25 45 69 38 15 2
18 25 45 69 38 15 1
18 25 45 69 38 45 2
18 26 45 69 39 15 1
18 26 45 69 39 15 1
18 26 15 69 39 15 2
18 25 45 69 39 15 3
18 25 45 69 38 45 4
18 26 45 69 39 15 1
18 26 45 69 40 45 1
18 26 15 69 40 45 2
18 25 45 69 40 45 3
18 25 45 69 40 45 1
18 26 15 69 40 45 2
18 26 45 69 40 45 3
18 27 15 69 15 15 1
18 27 15 69 15 45 2
18 27 15 69 16 15 3
18 27 45 69 16 15 4
18 27 45 69 16 45 5
18 27 45 69 17 15 6
18 27 15 69 17 15 7
18 27 15 69 17 45 8
18 27 15 69 15 15 1
18 27 15 69 14 45 2
18 27 15 69 14 15 3
18 27 15 69 13 45 4
18 27 15 69 13 15 5
18 27 45 69 13 15 6
18 26 15 68 59 45 1
18 25 45 68 59 45 2
18 25 15 68 57 45 1
18 25 15 68 58 15 2
18 24 45 68 58 15 3
18 24 45 68 58 15 1
18 24 45 68 58 45 2
18 25 15 68 58 45 3
18 25 15 68 59 15 4
18 25 45 68 59 15 5
18 25 45 68 59 45 6
18 25 15 68 57 45 1
18 25 15 68 57 45 1
18 25 15 68 57 15 1
18 26 15 68 53 15 1
18 25 45 68 56 45 1
18 25 15 68 56 45 2
18 25 15 68 57 15 3
18 25 15 68 57 15 1
18 25 15 68 56 45 2
18 25 45 68 56 45 3
18 40 45 68 56 15 1
18 40 45 68 56 45 2
18 41 15 68 56 45 3
18 37 45 68 45 15 1
18 37 45 68 45 45 2
18 37 45 68 46 15 3
18 37 45 68 46 45 4
18 37 45 68 47 15 5
18 37 45 68 47 45 6
18 37 15 68 47 45 7
18 37 15 68 48 15 8
18 37 15 68 48 45 9
18 37 45 68 48 45 10
18 37 45 68 49 15 11
18 38 15 68 49 15 12
18 38 15 68 49 45 13
18 38 15 68 50 15 14
18 38 45 68 50 15 15
18 38 45 68 50 45 16
18 25 45 68 57 45 1
18 25 45 68 58 15 2
18 25 45 68 58 45 3
18 25 45 68 59 15 4
18 25 45 68 59 45 1
18 26 15 68 59 45 2
18 26 15 68 60 15 3
18 26 15 69 0 15 4
18 26 15 69 0 45 5
18 26 15 69 1 15 6
18 26 45 69 1 15 7
18 26 45 69 1 45 8
18 26 45 69 2 15 9
18 26 45 69 2 45 10
18 26 45 69 3 15 11
18 25 15 68 58 15 1
18 25 45 68 58 15 2
18 26 15 68 58 15 3
18 26 45 68 58 15 4
18 27 15 68 58 15 5
18 26 15 68 58 15 1
18 25 45 68 58 15 2
18 25 45 68 58 45 3
18 25 45 68 59 15 4
18 25 45 68 59 45 5
18 25 45 68 59 45 1
18 25 45 68 59 15 2
18 25 45 68 58 45 3
18 25 45 68 58 15 4
18 28 45 68 42 45 1
18 28 45 68 43 15 2
18 28 45 68 43 45 3
18 28 45 68 44 15 4
18 28 45 68 44 45 5
18 28 45 68 45 15 6
18 28 15 68 45 15 7
18 28 15 68 45 45 8
18 27 45 68 45 45 9
18 27 45 68 46 15 10
18 27 45 68 46 45 11
18 27 45 68 47 15 12
18 27 45 68 47 45 13
18 27 45 68 48 15 14
18 27 45 68 48 45 15
18 27 45 68 49 15 16
18 27 15 68 49 15 17
18 26 45 68 49 15 18
18 26 45 68 49 45 19
18 26 15 68 49 45 20
18 26 15 68 50 15 21
18 25 45 68 50 15 22
18 26 15 68 53 15 1
18 26 15 68 53 45 2
18 26 45 68 53 45 3
18 26 45 68 54 15 4
18 26 45 68 54 45 5
18 25 45 68 59 45 1
18 25 45 68 59 15 2
18 25 15 68 59 15 3
18 25 15 68 58 45 4
18 24 45 68 58 45 5
18 24 45 68 58 15 6
18 25 45 68 59 45 1
18 26 15 68 59 45 2
18 37 15 68 42 45 1
18 36 45 68 42 45 2
18 36 15 68 42 45 3
18 35 45 68 42 45 4
18 35 45 68 43 15 5
18 36 45 68 42 45 1
18 36 45 68 43 15 2
18 37 15 68 42 45 1
18 37 15 68 43 15 2
18 36 45 68 43 15 1
18 36 15 68 43 15 2
18 36 15 68 43 45 3
18 36 15 68 44 15 4
18 36 15 68 44 45 5
18 35 45 68 44 45 6
18 35 45 68 45 15 7
18 35 45 68 45 45 8
18 35 15 68 45 45 9
18 35 15 68 46 15 10
18 34 45 68 46 15 11
18 34 15 68 46 15 12
18 34 15 68 46 45 13
18 33 45 68 46 45 14
18 33 15 68 46 45 15
18 32 45 68 46 45 16
18 32 15 68 46 45 17
18 42 15 68 57 15 1
18 41 45 68 57 15 2
18 41 15 68 57 15 3
18 41 15 68 57 45 4
18 40 45 68 57 45 5
18 40 45 68 58 15 6
18 40 15 68 58 15 7
18 39 45 68 58 15 8
18 39 15 68 58 15 9
18 38 45 68 58 15 10
18 38 45 68 57 45 11
18 38 15 68 57 45 12
18 37 45 68 57 45 13
18 37 15 68 57 45 14
18 36 45 68 57 45 15
18 36 15 68 57 45 16
18 35 45 68 57 45 17
18 35 15 68 57 45 18
18 35 15 68 58 15 19
18 35 15 68 58 45 20
18 34 45 68 58 45 21
18 34 45 68 59 15 22
18 34 15 68 59 15 23
18 34 15 68 59 45 24
18 33 45 68 59 45 25
18 33 15 68 59 45 26
18 33 15 69 0 15 27
18 32 45 69 0 15 28
18 32 45 69 0 45 29
18 32 15 69 0 45 30
18 31 45 69 0 45 31
18 31 15 69 0 45 32
18 30 45 69 0 45 33
18 30 15 69 0 45 34
18 46 15 69 2 45 1
18 46 15 69 3 15 2
18 46 15 69 3 45 3
18 46 15 69 4 15 4
18 46 15 69 4 45 5
18 46 15 69 5 15 6
18 46 15 69 5 45 7
18 46 15 69 6 15 8
18 46 15 69 6 45 9
18 46 15 69 7 15 10
18 46 15 69 7 45 11
18 46 15 69 8 15 12
18 46 15 69 8 45 13
18 46 15 69 9 15 14
18 46 15 69 9 45 15
18 46 15 69 10 15 16
18 46 15 69 10 45 17
18 46 15 69 2 45 1
18 46 15 69 2 15 2
18 45 45 69 2 15 3
18 45 15 69 2 15 4
18 45 15 69 1 45 5
18 46 15 69 2 15 1
18 46 15 69 2 15 1
18 46 15 69 2 45 2
18 46 45 69 2 45 3
18 46 45 69 3 15 4
18 47 15 69 3 15 5
18 47 45 69 3 15 6
18 48 15 69 3 15 7
18 48 15 69 3 45 8
18 48 45 69 3 45 9
18 49 15 69 3 45 10
18 49 15 69 4 15 11
18 49 15 69 4 45 12
18 49 45 69 4 45 13
18 49 45 69 5 15 14
18 50 15 69 5 15 15
18 50 15 69 5 45 16
18 50 45 69 5 45 17
18 50 45 69 6 15 18
18 51 15 69 6 15 19
18 51 45 69 6 15 20
18 51 45 69 6 45 21
18 52 15 69 6 45 22
18 52 15 69 7 15 23
18 52 45 69 7 15 24
18 53 15 69 7 15 25
18 53 15 69 7 45 26
18 53 15 69 8 15 27
18 53 45 69 8 15 28
18 54 15 69 8 15 29
18 54 15 69 8 45 30
18 54 15 69 8 15 31
18 54 45 69 8 15 32
18 54 45 69 7 45 33
18 55 15 69 7 45 34
18 55 15 69 7 15 35
18 55 45 69 7 15 36
18 55 15 69 7 15 37
18 55 15 69 6 45 38
18 55 15 69 6 15 39
18 55 15 69 5 45 40
18 55 45 69 5 45 41
18 55 45 69 5 15 42
18 56 15 69 5 15 43
18 56 45 69 5 15 44
18 56 45 69 4 45 45
18 46 15 69 2 15 1
18 27 45 69 17 45 1
18 28 15 69 17 45 2
18 28 15 69 17 15 3
18 33 15 69 10 45 1
18 33 15 69 10 15 2
18 33 15 69 9 45 3
18 33 15 69 9 15 4
18 33 15 69 8 45 5
18 33 45 69 8 45 6
18 33 45 69 8 15 7
18 33 45 69 7 45 8
18 33 45 69 7 15 9
18 33 15 69 10 45 1
19 3 15 69 23 15 1
19 3 15 69 22 45 2
19 2 45 69 22 45 3
19 2 45 69 22 15 4
19 2 45 69 21 45 5
19 2 15 69 21 45 6
19 2 15 69 21 15 7
19 2 15 69 20 45 8
19 1 45 69 20 45 9
19 1 45 69 20 15 10
19 2 15 69 20 15 11
19 2 15 69 19 45 12
19 1 45 69 19 45 13
19 1 45 69 19 15 14
19 1 45 69 18 45 15
18 59 15 69 2 45 1
18 58 45 69 2 45 1
18 45 45 69 15 15 1
18 46 15 69 15 15 2
18 46 15 69 15 45 3
18 46 45 69 15 45 4
18 46 45 69 16 15 5
18 47 15 69 16 15 6
18 47 15 69 16 45 7
18 47 45 69 16 45 8
18 48 15 69 16 45 9
18 48 15 69 17 15 10
18 48 15 69 17 45 11
18 56 45 69 4 45 1
18 57 15 69 4 45 2
18 57 15 69 4 15 3
18 57 15 69 3 45 4
18 57 45 69 3 45 5
18 57 45 69 4 15 6
18 57 45 69 3 45 7
18 57 45 69 4 15 8
18 57 45 69 3 45 9
18 58 15 69 3 45 10
18 32 15 72 20 15 1
18 31 45 72 20 15 2
18 28 15 69 17 15 1
18 28 45 69 17 15 2
18 28 45 69 16 45 3
18 28 45 69 16 45 1
18 28 45 69 17 15 2
18 28 15 69 17 15 3
18 28 45 69 16 45 1
18 28 45 69 16 15 2
18 29 15 69 16 15 3
18 29 15 69 15 45 4
18 29 45 69 15 45 5
18 29 45 69 15 15 6
18 30 15 69 15 15 7
18 30 15 69 14 45 8
18 30 45 69 14 45 9
18 30 45 69 14 15 10
18 30 45 69 13 45 11
18 30 45 69 13 15 12
18 30 45 69 12 45 13
18 27 15 69 17 15 1
18 27 15 69 17 45 2
18 27 15 69 17 15 1
18 27 15 69 17 45 2
18 27 45 69 17 45 3
