ydeg ymin ysec xdeg xmin xsec sourcedist
18 20 45 72 50 15 1
19 19 45 72 19 15 128
19 3 15 70 12 15 34
18 27 15 72 14 45 35
18 41 15 71 54 15 3
18 56 15 71 17 15 6
19 10 45 69 54 15 141
19 7 45 72 31 15 483
19 24 45 72 40 45 113
18 2 45 73 51 45 1
18 38 15 71 16 45 9
18 40 45 72 3 15 2
18 21 45 71 24 15 53
18 26 15 74 26 45 6
18 39 45 71 51 45 5
18 51 45 72 5 15 362
18 20 45 74 16 15 4
19 10 15 72 37 15 520
18 43 15 71 56 15 6
18 13 15 72 59 45 2
19 1 45 71 46 45 103
19 46 45 71 1 45 35
18 32 45 72 14 45 75
18 14 15 74 3 15 4
18 26 15 72 30 15 1
19 44 45 72 41 15 37
18 24 15 74 19 15 35
19 41 45 71 25 45 320
18 24 45 72 2 15 5
19 5 45 71 50 15 43
18 23 45 72 57 15 4
19 18 15 72 38 15 155
19 48 45 71 40 45 1
18 27 15 70 17 15 43
19 32 45 72 32 45 37
18 52 15 72 31 45 89
18 32 15 72 7 15 142
19 23 15 72 6 15 2
18 41 45 72 10 15 46
18 52 15 71 56 45 334
18 11 15 73 52 45 11
18 17 45 72 17 15 1
19 33 45 72 17 15 104
18 13 15 72 51 45 125
18 13 15 72 46 45 42
19 16 45 70 52 45 5
19 23 15 71 8 45 236
19 11 15 72 11 45 75
19 19 15 70 44 45 1
18 15 15 72 26 15 1
19 11 15 70 33 45 2
18 36 15 74 5 15 79
19 5 45 72 19 15 4
19 38 15 72 21 15 5
19 35 15 71 51 45 128
18 50 45 71 6 45 3
19 41 45 72 25 15 35
19 35 45 72 0 15 85
19 46 15 73 21 45 40
19 43 15 72 12 15 4
19 22 45 72 43 15 2
19 36 15 72 10 15 108
19 2 45 72 27 45 80
18 13 45 72 46 45 41
18 38 45 68 59 45 4
19 27 15 72 29 15 2
19 27 15 70 42 45 128
19 6 15 71 39 15 71
18 14 15 72 52 45 121
18 27 15 72 17 45 1
18 18 45 72 57 45 10
18 37 45 71 2 15 18
18 37 15 70 39 45 105
18 30 45 71 1 15 16
19 35 15 72 28 45 72
18 42 45 70 9 45 2
18 36 45 74 8 15 212
19 48 45 72 23 15 1
18 32 45 69 50 45 173
18 14 45 72 20 45 3
18 39 45 68 55 15 108
19 30 45 72 32 15 69
18 27 15 73 19 15 184
18 19 45 73 2 45 3
18 56 15 72 34 45 3
18 38 45 70 39 45 108
19 48 15 71 40 45 4
18 9 45 71 45 45 72
18 56 15 72 35 15 2
18 31 15 72 30 45 1
18 52 45 71 52 15 127
19 0 45 72 23 15 431
18 28 15 72 26 15 74
19 43 15 71 32 15 362
19 38 45 71 13 45 271
18 23 15 72 18 45 5
19 28 15 70 41 45 103
18 23 45 71 53 45 1
19 40 45 72 34 45 101
18 30 15 74 2 15 104
18 34 45 70 31 15 47
19 34 45 72 56 15 71
19 11 45 70 52 15 92
18 22 45 72 41 15 9
18 15 15 72 57 45 85
19 41 45 70 39 45 19
18 25 45 74 23 15 114
19 31 45 72 41 15 9
19 0 15 71 47 15 107
19 19 45 72 3 15 71
18 31 15 70 33 15 72
18 24 15 71 11 15 95
18 43 15 70 5 45 39
18 44 45 72 23 45 40
19 31 45 71 0 15 221
19 3 45 71 52 15 97
18 27 45 74 2 15 93
19 8 45 72 32 45 496
18 31 45 69 20 45 134
18 26 45 72 33 15 67
19 31 45 71 42 45 62
18 18 45 74 13 15 1
18 32 15 72 34 45 117
19 37 45 70 21 15 137
18 39 45 68 55 45 109
18 25 45 72 27 45 80
18 11 15 72 56 45 36
18 28 45 72 15 15 2
18 23 15 72 3 45 1
18 30 45 68 58 45 14
18 43 15 70 6 15 38
19 49 45 72 40 45 5
18 47 15 68 51 45 84
19 5 45 72 22 45 81
19 15 45 70 53 45 41
19 37 45 72 8 45 126
18 46 45 71 34 45 8
18 53 15 71 20 45 33
19 18 15 72 17 15 137
18 25 45 71 8 45 81
18 15 45 72 32 15 75
19 10 15 70 23 15 2
19 35 45 72 55 45 68
18 16 45 72 50 15 97
18 27 15 72 24 15 56
18 23 45 72 20 45 42
18 28 15 68 52 15 153
19 6 15 72 19 45 6
18 57 45 70 23 45 29
18 13 45 73 11 15 146
18 26 15 72 2 15 104
18 49 15 72 56 45 6
18 42 45 70 10 15 1
18 33 15 70 30 15 52
18 38 45 69 42 45 40
18 40 15 69 50 15 123
19 25 45 72 6 15 75
18 49 15 71 7 15 7
19 36 45 70 32 45 44
19 5 15 70 8 45 47
19 49 15 72 49 15 159
18 33 45 72 33 15 1
19 27 15 71 5 15 261
19 28 45 71 21 15 86
18 30 15 74 23 45 104
19 43 15 72 4 15 1
19 12 45 72 38 15 543
19 32 45 72 14 45 34
18 18 15 71 10 15 211
18 43 15 72 25 15 1
19 20 15 72 4 45 77
18 16 15 73 2 45 124
18 34 15 70 0 45 71
18 38 45 72 3 45 40
18 43 15 68 46 45 75
19 1 45 71 46 15 102
18 15 45 72 50 15 94
18 26 45 68 58 15 59
19 4 45 70 54 15 154
18 28 15 68 58 15 52
18 10 45 71 47 15 3
18 7 15 71 44 45 81
19 20 15 72 5 15 78
18 23 15 74 4 45 7
18 27 15 73 23 15 4
19 37 15 72 54 15 60
19 38 15 71 6 15 241
18 20 45 72 51 15 67
18 19 45 74 9 15 50
18 34 15 74 25 15 107
19 26 15 72 32 15 13
18 15 45 72 51 15 98
18 32 45 74 8 15 1
18 24 45 71 26 15 41
18 2 15 71 45 15 96
18 48 15 72 2 15 35
19 32 15 71 53 45 106
18 24 45 74 24 15 106
19 33 15 71 52 15 121
19 18 15 70 57 15 298
18 54 15 71 53 45 318
18 16 15 74 5 45 81
19 43 15 70 48 45 188
18 40 15 70 27 45 61
18 45 45 71 7 45 3
19 39 15 71 46 15 78
18 24 15 71 53 45 2
19 39 45 70 30 15 59
18 18 15 72 17 45 10
19 32 45 72 28 15 2
18 32 45 69 10 45 50
18 21 15 73 51 45 1
18 26 45 74 20 15 1
18 39 15 71 49 45 65
19 27 45 71 19 45 81
18 20 15 71 10 15 199
19 48 15 72 48 45 154
19 32 15 72 41 15 8
18 25 15 71 55 45 71
18 25 45 70 1 15 133
18 31 45 70 5 45 100
19 10 15 72 3 45 224
18 29 15 74 2 15 100
19 16 15 72 32 45 132
18 24 15 68 39 15 146
19 52 15 73 11 45 49
19 19 15 72 39 45 156
18 22 45 74 23 15 2
18 13 15 72 17 45 62
18 16 15 72 8 15 7
18 35 15 69 22 45 123
18 31 15 71 1 15 17
18 12 15 73 46 15 74
18 55 15 68 49 15 39
18 12 15 72 44 45 2
18 49 45 72 31 45 96
19 50 45 72 51 15 170
19 2 15 71 52 15 288
18 20 15 74 8 15 2
18 25 45 72 24 15 1
19 0 15 71 55 15 167
18 22 45 73 29 15 69
18 20 15 71 12 15 34
18 20 45 74 8 15 16
19 19 45 72 20 15 124
19 39 45 70 29 15 63
19 33 45 71 52 15 122
19 28 15 71 40 15 42
18 19 15 71 34 15 2
19 9 45 71 47 45 73
19 40 15 72 36 15 105
19 30 15 71 23 15 2
18 22 15 73 25 15 7
