daysince2010 Centre Grand'Anse L'Artibonite Nippes Nord Nord-Est Nord-Ouest Ouest Port-au-Prince Sud Sud-Est
195 31.67149 28.16772 31.97902 25.8826 42.23798 10.85273 39.30073 11.67249 11.67249 0.4193016 1.738217
196 0.04618182 31.46097 0.2531672 50.8254 0 0.4310303 0.3078788 5.089864 5.089864 0.7902222 44.30005
197 15.90502 51.85103 18.61445 64.0334 30.53918 0.3540606 5.772727 59.07925 59.07925 27.88356 35.62121
198 49.29447 93.27931 23.37799 85.0138 18.86012 1.016 14.16242 25.87019 25.87019 10.88571 49.13523
199 50.19964 27.5371 55.41031 35.433 11.58043 8.112606 19.85818 44.14504 44.14504 14.224 37.592
200 15.24924 12.22703 1.638925 10.6172 3.74835 0.0769697 17.14885 23.16085 23.16085 29.14146 41.22757
201 50.38436 67.37131 45.69002 115.0366 40.99511 0.5541818 31.71152 77.50535 77.50535 50.84838 69.30834
202 24.19927 85.58924 40.51342 52.9844 36.77328 76.04606 27.06255 22.88466 22.88466 51.60635 39.44039
203 10.91738 75.30662 42.25894 0.508 42.02097 14.42412 55.24885 1.394123 1.394123 0 27.00357
204 17.24429 10.16 55.34369 1.8542 34.64264 15.64024 47.47491 17.84083 17.84083 6.918476 8.00559
205 0 6.358759 0.2531672 3.5306 0 0 0.3848485 0.7167897 0.7167897 0.6773334 7.307856
206 0 0 0.06662295 0 0 0 0 0 0 0 0
207 0.7204364 0 0.006662295 0 0 0 0 0 0 0.9514921 0.330506
208 0.4618182 2.34731 0.926059 0.0254 1.538796 0 0 0.5655405 0.5655405 0 0.8691084
209 0.3602182 0.2977931 7.741587 0.0762 0.1380971 0.523394 3.140364 0.07891262 0.07891262 0 0
210 44.64858 1.488966 2.131934 3.302 0.5129321 0.3078788 2.940242 24.02889 24.02889 17.14298 0
211 12.89396 4.852276 16.17605 23.0632 4.517748 1.077576 0 27.92192 27.92192 3.596318 15.68067
212 9.217891 12.34966 3.217889 8.2804 0.5918447 0 0.03078788 8.226641 8.226641 6.063746 11.57995
213 0 0.2102069 0 0 0 0 0 0.8022783 0.8022783 0 0
214 1.256145 18.41062 0.05329836 0 10.55456 0 0 8.989463 8.989463 0 0.2080964
215 1.514764 0 5.969416 0.2032 0 0 1.708727 1.06532 1.06532 0 0.04896386
216 9.088582 2.119586 7.375161 11.3284 49.65577 0.1231515 23.64509 8.404194 8.404194 5.370286 0.01224096
218 16.57004 21.45862 3.764197 1.2446 0 2.832485 2.709333 10.58744 10.58744 4.031746 4.370024
219 15.748 0.05255173 1.492354 4.4958 0.5918447 0.2001212 3.894667 19.74788 19.74788 1.161143 0
220 10.3632 34.12359 2.678243 66.1162 0 0.7389091 0 16.97937 16.97937 10.20838 57.94872
221 11.39767 36.24317 3.497705 8.1788 31.13103 0 0.03078788 38.41072 38.41072 8.337651 31.09205
222 29.40858 51.32552 30.39339 33.3502 6.687845 5.895879 4.679758 38.68034 38.68034 0.6773334 1.90959
223 28.02313 75.90221 25.22345 5.9944 12.48792 33.23552 10.77576 21.68782 21.68782 6.25727 4.235374
224 28.89135 81.13986 42.45881 44.1198 35.4515 32.18873 41.37891 31.24282 31.24282 7.740952 28.94988
225 33.21396 15.8531 24.30405 0.9398 52.16124 0 23.02933 5.241113 5.241113 4.38654 7.454747
226 30.30451 6.218621 11.11937 15.0114 3.038136 0.03078788 1.031394 21.53657 21.53657 6.499175 3.268337
227 35.69855 60.74979 18.25469 1.9812 26.57383 9.267152 9.205576 5.320026 5.320026 3.628571 6.242892
228 0.4064 56.73835 5.86282 11.2268 2.130641 0 0.4464243 3.024984 3.024984 0 3.243855
229 18.92531 11.38621 29.0143 14.9606 8.996039 16.42533 7.389091 21.12885 21.12885 0.06450794 11.95942
230 5.865091 5.535448 15.57645 0.9652 33.08412 1.462424 6.157576 0.2104337 0.2104337 0 11.6534
